company,ticker,sector,filing_date,ai_mention_count,sentiment,theme,sentiment_reason
Sysco,SYY,Consumer Goods,2025-08-22,20,neutral,operational_efficiency,"The discussion about artificial intelligence is factual and acknowledges both the potential benefits in operations as well as the inherent risks, without a strong positive or negative connotation."
Northrop Grumman,NOC,Industrials,2026-01-27,16,positive,operational_efficiency,"The company emphasizes the need to integrate artificial intelligence into its operations to enhance performance, drive efficiencies, and meet evolving customer requirements, framing AI as a crucial strategic asset."
Target,TGT,Retail,2025-03-12,15,negative,risk_and_regulation,"The discussion primarily frames artificial intelligence as a potential risk that could adversely affect their competitive position and reputation, highlighting ethical issues and dependency on third-party technologies."
HCA Healthcare,HCA,Healthcare,2026-02-10,14,positive,operational_efficiency,"The company frames AI as a crucial part of their strategy to drive operational excellence and improve care delivery, suggesting it is viewed as a strategic asset for growth."
Capital One,COF,Financials,2026-02-19,14,neutral,risk_and_regulation,The discussion on AI highlights its potential uses and benefits while also emphasizing significant risks and regulatory concerns associated with its implementation.
Citigroup,C,Financials,2026-02-20,13,negative,risk_and_regulation,"The company predominantly discusses the risks and regulatory concerns associated with AI, emphasizing potential adverse consequences and the need for careful management and oversight."
FedEx,FDX,Industrials,2025-07-21,13,positive,operational_efficiency,"The company discusses leveraging artificial intelligence as a means to improve operational efficiency and drive their transformational initiatives, framing it as a strategic asset."
Progressive,PGR,Financials,2025-03-03,13,negative,risk_and_regulation,"The company's discussion primarily focuses on the risks and regulatory concerns associated with artificial intelligence, indicating a cautious and negative perspective on its implications for the business."
Dell Technologies,DELL,Technology,2025-03-25,10,positive,competitive_positioning,"The company frames AI as a crucial element of their strategic focus and a driver for growth, emphasizing their leadership and innovative capabilities in the AI space."
Amazon,AMZN,Technology,2026-02-06,10,neutral,competitive_positioning,The discussion of artificial intelligence primarily highlights its role in a competitive market context without expressing a strong positive or negative view on its impact.
AT&T,T,Telecommunications,2026-02-09,10,neutral,competitive_positioning,"The company's discussion of AI is factual, highlighting its expected role in driving demand for broadband and improving operational efficiency, without strong positive or negative sentiments."
Lowe's,LOW,Retail,2025-03-24,10,positive,competitive_positioning,"The company frames AI as a crucial element for maintaining competitiveness and enhancing customer experience, highlighting its strategic implementation as essential for operational efficiency and market position."
Cisco Systems,CSCO,Technology,2025-09-03,9,positive,competitive_positioning,"The company frames AI as a key component in their product offerings and innovation strategy, highlighting its role in enhancing security, operational efficiency, and overall competitive advantage."
Nvidia,NVDA,Technology,2025-02-26,9,positive,competitive_positioning,"The discussion frames AI as a key driver of innovation and competitive advantage through NVIDIA's technology, emphasizing its pivotal role in enabling and transforming various industries."
Bristol-Myers Squibb,BMY,Healthcare,2026-02-11,9,neutral,risk_and_regulation,"The discussion primarily highlights the regulatory concerns and potential cybersecurity risks associated with artificial intelligence, without framing AI explicitly as a strategic asset or disadvantage."
Tesla,TSLA,Technology,2026-01-29,9,positive,competitive_positioning,"The company frames AI as a strategic asset for developing innovative products like autonomous vehicles and robots, positioning itself to lead in competitive markets."
Salesforce,CRM,Technology,2025-03-05,9,positive,competitive_positioning,"The company frames AI as a key strategic asset that enhances productivity, customer engagement, and overall business growth, positioning it as central to their competitive advantage."
Raytheon Technologies,RTX,Industrials,2026-02-06,9,negative,risk_and_regulation,"The discussion primarily highlights the risks and compliance concerns associated with AI, including potential liabilities, regulatory challenges, and cybersecurity threats, framing AI as a significant challenge rather than a strategic asset."
Cigna Group,CI,Healthcare,2025-02-27,9,positive,product_innovation,"The company frames AI as a means to support health care transformation and enhance solutions, viewing it as a strategic asset rather than a threat."
Apple,AAPL,Technology,2025-10-31,9,negative,risk_and_regulation,"The company primarily frames AI as a source of risks and regulatory concerns, emphasizing potential legal liabilities, compliance challenges, and technical failures associated with its deployment."
Alphabet,GOOGL,Technology,2026-02-05,9,positive,competitive_positioning,"The company frames AI as a strategic asset, emphasizing its role in enhancing products, supporting innovation, and driving smarter business outcomes."
Microsoft,MSFT,Technology,2025-07-30,9,positive,competitive_positioning,"The company frames AI as a strategic asset that enhances productivity, supports growth, and solidifies its market position through innovative solutions and improvements to core services."
American International Group,AIG,Financials,2026-02-12,8,negative,risk_and_regulation,"The company discusses various regulations and risks associated with the use of AI, emphasizing potential threats and compliance challenges rather than opportunities or strategic advantages."
Coca-Cola,KO,Consumer Goods,2026-02-20,8,neutral,data_and_analytics,"The discussion mentions artificial intelligence in relation to data analytics and operational success without strong positive or negative framing, focusing on its necessity for adapting to market changes and consumer preferences."
Danaher,DHR,Healthcare,2025-02-20,8,negative,risk_and_regulation,"The company primarily frames artificial intelligence in terms of risks and regulatory concerns, highlighting uncertainties and potential harms associated with its development and deployment."
General Electric,GE,Industrials,2026-01-29,8,negative,risk_and_regulation,"The company frames AI primarily as a risk involving business, reputational, legal, and compliance issues, highlighting cybersecurity threats and competitive challenges rather than as a strategic asset."
Honeywell,HON,Industrials,2026-02-17,8,positive,competitive_positioning,"The company frames artificial intelligence as a critical component for developing new technologies and maintaining a competitive edge in the market, highlighting its strategic importance for future growth."
